Picture	Capitol name	Location	Years of current capitol construction	Notes
Alabama Capitol Building.jpg	Alabama State Capitol	Montgomery
32°22′38.81″N 86°18′3.39″W	1850–1851
1885 (East wing)
1903–1906 (South wing)
1911–1912 (North wing)	National Historic Landmark
Alaska State Capitol Building.jpg	Alaska State Capitol	Juneau
58°18′7.91″N 134°24′37.68″W	1929–1931
AZ State Capitol Building 80635.JPG	Arizona State Capitol	Phoenix
33°26′53.15″N 112°5′49.54″W	1899–1900	National Register of Historic Places, no longer hosts government meetings
ArkansasCapitol - 31409(60).JPG	Arkansas State Capitol	Little Rock
34°44′48.33″N 92°17′19.54″W	1899–1915	National Register of Historic Places
Sacramento Capitol 2013.jpg	California State Capitol	Sacramento
38°34′35.66″N 121°29′36.28″W	1860–1874	National Register of Historic Places
Coloradocapitolhill2.JPG	Colorado State Capitol	Denver
39°44′20.74″N 104°59′5.63″W	1886–1907	National Register of Historic Places
Exactly one mile above sea level
Connecticut State Capitol, February 24, 2008.jpg	Connecticut State Capitol	Hartford
41°45′50.89″N 72°40′58″W	1872–1879	National Historic Landmark
Delaware State Capitol.jpg	Delaware Legislative Hall	Dover
39°9′26.3″N 75°31′11″W	1933
1965-1970 (north and south wings)
1994 (expansion of east wings)	The Old Statehouse, used from 1792 to 1932, is listed on the National Register of Historic Places.
Tallahassee Old and New Capitols 2.jpg	Florida State Capitol	Tallahassee
30°26′17.2″N 84°16′53.76″W	1973–1977	Newest state capitol
Second largest state capitol
Georgia-state-capitol.jpg	Georgia State Capitol	Atlanta
33°44′57.38″N 84°23′17.74″W	1883–1889	National Historic Landmark
Hawaii State Capitol, Honolulu.jpg	Hawaii State Capitol	Honolulu
21°18′26.43″N 157°51′26.16″W	1960–1969	Part of the Hawaii Capital Historic District (NRHP)
Second newest state capitol
Boise-State-Capitol0601.jpg	Idaho State Capitol	Boise
43°37′3.71″N 116°11′58.61″W	1905–1913
1919–1920 (wings)
2008–2010 (underground wings)	National Register of Historic Places
Illinois State Capitol pano.jpg	Illinois State Capitol	Springfield
39°47′54.66″N 89°39′17.6″W	1884–1887 (construction)	National Register of Historic Places
Tallest non-skyscraper capitol, including Washington D.C.
StateCapitolIndiana.jpg	Indiana Statehouse	Indianapolis
39°46′7″N 86°9′45″W	1877–1888[3]	National Register of Historic Places
Des Moines 20090110 State Capitol.JPG	Iowa State Capitol	Des Moines
41°35′28.24″N 93°36′13.93″W	1871–1886	National Register of Historic Places
Topeka Capitol.jpg	Kansas State Capitol	Topeka
39°2′52.83″N 95°40′41.36″W	1866–1873 (east wing)
1879–1881 (west wing)
1884–1906 (center)	National Register of Historic Places
Kentucky State Capitol Front.jpg	Kentucky State Capitol	Frankfort
38°11′12.4″N 84°52′31.2″W	1905–1910	National Register of Historic Places
Louisiana State Capitol Building.jpg	Louisiana State Capitol	Baton Rouge
30°27′25.46″N 91°11′14.66″W	1930–1932	National Historic Landmark
Tallest state capitol
MaineStateHouse1.JPG	Maine State House	Augusta
44°18′26.05″N 69°46′54.04″W	1828–1832
1889–1891 (wing)
1909–1911 (wings)	National Register of Historic Places
1Maryland State Capitol Bldg..JPG	Maryland State House	Annapolis
38°58′43″N 76°29′28″W	1772–1797[4]	National Historic Landmark
Oldest active state capitol
Mass statehouse eb1.jpg	Massachusetts State House	Boston
42°21′27.75″N 71°3′48.83″W	1795–1798	National Historic Landmark
Fourth oldest active state capitol
Michigan state capitol.jpg	Michigan State Capitol	Lansing
42°44′1.42″N 84°33′20.12″W	1871–1878	National Historic Landmark
MinnesotaCapitol.JPG	Minnesota State Capitol	Saint Paul
44°57′18.53″N 93°6′8.05″W	1893–1905	National Register of Historic Places
Mississippi New State Capitol Building in Jackson.jpg	Mississippi State Capitol	Jackson
32°18′14″N 90°10′56″W	1901–1903	National Register of Historic Places
MissouriCapitol.jpg	Missouri State Capitol	Jefferson City
38°34′44.83″N 92°10′22.77″W	1911–1917	National Register of Historic Places
MontanaStateCapitol2008.jpg	Montana State Capitol	Helena
46°35′8.52″N 112°1′6.24″W	1896–1902
1909–1912 (wings)	National Register of Historic Places
Nebraska State Capitol at night.jpg	Nebraska State Capitol	Lincoln
40°48′29.12″N 96°41′58.51″W	1919–1932	National Historic Landmark
Second tallest state capitol
Carson city nevada capitol.jpg	Nevada State Capitol	Carson City
39°9′50.67″N 119°45′58.65″W	1869–1871	National Register of Historic Places
Concord New Hampshire state house 20041229.jpg	New Hampshire State House	Concord
43°12′24.29″N 71°32′17.26″W	1815–1818
NJ Capitol.JPG	New Jersey State House	Trenton
40°13′13.57″N 74°46′11.65″W	1792	Second oldest active state capitol
NewMexicoCapitolSantaFe.jpg	New Mexico State Capitol	Santa Fe
35°40′56.21″N 105°56′22.77″W	1964–1966	Highest and only round state capitol
Third newest state capitol in oldest capital city
NYSCapitolWestSide.jpg	New York State Capitol	Albany
42°39′9.19″N 73°45′26.36″W	1867–1899	National Historic Landmark
North Carolina State Capitol, Raleigh.jpg	North Carolina State Capitol	Raleigh
35°46′49″N 78°38′21″W	1840	National Historic Landmark
2009-0521-ND-StateCapitol.jpg	North Dakota State Capitol	Bismarck
46°49′14.93″N 100°46′57.87″W	1920–1924
1931–1934 (office tower & wing)
Ohio Statehouse columbus.jpg	Ohio Statehouse	Columbus
39°57′41″N 82°59′56″W	1837–1861	National Historic Landmark
Oklahoma State Capitol.jpg	Oklahoma State Capitol	Oklahoma City
35°29′32.21″N 97°30′12.14″W	1914–1917
2000-2002 (dome)	National Register of Historic Places
Oregon State Capitol 1.jpg	Oregon State Capitol	Salem
44°56′19.43″N 123°1′48.35″W	1935
1977 (wings)	National Register of Historic Places
Pennsylvania State Capitol.jpg	Pennsylvania State Capitol	Harrisburg
40°15′52″N 76°52′0″W	1904-1906[5]	National Historic Landmark
Rhode Island state house 2009a.JPG	Rhode Island State House	Providence
41°49′51″N 71°24′54″W	1895–1904	National Register of Historic Places
SC State House at evening.jpg	South Carolina State House	Columbia
34°0′1.56″N 81°1′59.33″W	1854–1865	National Historic Landmark
PierreSD Capitol.jpg	South Dakota State Capitol	Pierre
44°22′1.8″N 100°20′46.87″W	1905–1911	National Register of Historic Places
Tennessee State Capitol March 2009.jpg	Tennessee State Capitol	Nashville
36°9′57″N 86°47′3″W	1845–1854	National Historic Landmark
Texas State Capitol building-front left front oblique view.JPG	Texas State Capitol	Austin
30°16′29″N 97°44′26″W	1881–1888
1993 (underground extension)	National Historic Landmark
Largest state capitol
Utah State Capitol in October 2010.JPG	Utah State Capitol	Salt Lake City
40°46′38″N 111°53′17″W	1912–1916
2004-2008 (major restoration and renovation)	National Register of Historic Places
Vermont State House front.jpg	Vermont State House	Montpelier
44°15′44″N 72°34′51″W	1834–1836	National Historic Landmark
Virginia State Capitol.jpg	Virginia State Capitol	Richmond
37°32′19.53″N 77°26′0.94″W	1785–1790
1904–1906 (wings)	National Historic Landmark
Third oldest active state capitol
WACapitolLegislativeBldg.jpg	Washington State Capitol	Olympia
47°02′07″N 122°54′23″W	1919–1928 (Legislative building)	National Register of Historic Places
West Virginia State Capitol Building.jpg	West Virginia State Capitol	Charleston
38°20′11″N 81°36′44″W	1924–1932	National Register of Historic Places
Wis-capitol.jpg	Wisconsin State Capitol	Madison
43°4′28″N 89°23′5″W	1906–1917
1988-2002 (major renovation and restoration)	National Historic Landmark
DSCN5263 cheyennewyomingcapitolfront e.jpg	Wyoming State Capitol	Cheyenne
41°8′25″N 104°49′11″W	1886–1890
1915–1917 (House and Senate chambers)	National Historic Landmark
Second highest state capitol
